1,樹懶,◆１,なまけもの,,"ナマケモノ科の哺乳（ホニュウ）動物の総称。中南米の森林にすむ。体形はサルに似るが、動作はたいへん鈍い。四肢で体を支えきれず、かぎ状の爪（つめ）で木の枝にぶらさがり、木の葉や果実を食べる。〈漢字ペディア〉
●H06-2㈤、H11-2㈤、H14-2㈤、H15-3㈤、H18-2㈤、H19-3㈤、H21-2㈤、H27-3㈤",
2,石決明,◆１,あわび,,"ミミガイ科の巻貝の総称。＝鮑、蚫、鰒〈漢字ペディア〉
●H06-2㈤、H11-3㈤、H15-1㈤、H19-1㈤",
3,蛞蝓,◆１,なめくじ,,"ナメクジ科の軟体動物。カタツムリに似るが殻はない。湿気を好み、草花や野菜を食害。ナメクジラ。〈漢字ペディア〉
●H04-1㈤、H09-2㈤",
4,虎魚,◆１,おこぜ,,"オニオコゼ科とハオコゼ科の海魚の総称。＝鰧〈漢字ペディア〉
●H04-1㈤、H10-2㈤、H14-3㈤、H16-2㈤、H30-2㈤",
5,秧鶏,◆１,くいな,,"クイナ科の鳥の総称。＝水鶏〈漢字ペディア〉
●H12-2㈤、H15-1㈤、H18-2㈤、H20-2㈤、H22-3㈤、H27-3㈤",
6,馴鹿,◆１,となかい,,"シカ科の哺乳（ホニュウ）動物。北極付近のツンドラ地帯にすみ、家畜化されている。体は褐色で、雌雄ともに角がある。肉と乳は食用。〈漢字ペディア〉
●H05-1㈤、H06-3㈤、H16-2㈤、H24-1㈤、H26-2㈤、H29-1㈤",
7,山毛欅,◆１,ぶな,,"ブナ科の落葉高木。温帯の山地に自生。樹皮は灰色。葉は広い卵形。実は「どんぐり」と呼ばれる。＝椈〈漢字ペディア〉
●H09-3㈤、H12-2㈤、H19-2㈤、H21-3㈤、H25-1㈤、H27-1㈤",
8,海扇,◆１,ほたてがい,,"イタヤガイ科の二枚貝。海底の砂地にすむ。養殖も盛ん。殻は大きく扇形をしている。食用で、特に貝柱が大きく美味。＝帆立貝〈漢字ペディア〉
●H08-2㈤、H10-1㈤、H12-2㈤、H14-3㈤、H17-2㈤、H21-2㈤",
9,胡籙,◆１,やなぐい,,"矢を入れて携行する道具。〈漢字ペディア〉
●H08-3㈤、H14-1㈤、H18-2㈤、H20-2㈤、H22-2㈤、H29-1㈤",
10,馬酔木,◆１,あせび,あしび,"ツツジ科の常緑低木。山地に自生。早春、つぼ形の白い小花を総状につける。葉や枝は有毒。葉は殺虫剤に用いる。〈漢字ペディア〉
●H05-1㈤、H14-1㈤、H17-1㈤、H20-2㈤、H23-1㈤",
