1,緇衣,"しい
しえ",緇い,くろ,◆１,"1.黒色の衣服。
2.墨染めの僧衣。また、僧侶(ソウリョ)。〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈥、H20-2㈥、H22-2㈥"
2,抉剔,けってき,剔る,えぐ,◆１,"えぐりだすこと。隠れているものをほじくりだすこと。≒抉出〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈥、H17-2㈥"
3,扣門,こうもん,扣く,たた,◆１,"門をたたく。敲門。〈漢辞海〉
●H14-3㈥"
4,倦憊,けんぱい,憊れる,つか,◆１,"あきて疲れること。≒倦疲〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈥"
5,慙恚,ざんい,恚る,いか,◆１,"はじて怒ること。≒慙憤〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈥"
6,諧謔,かいぎゃく,謔れる,たわむ,◆１,"ちょっとした冗談。おどけ。しゃれ。ユーモア。おどけた話や言葉。≒詼諧〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈥"
7,嗤笑,ししょう,嗤う,わら,◆１,"あざけりわらうこと。あざわらい。≒嘲笑〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈥"
8,截然,せつぜん,截る,き,◆１,"1.区別がはっきりしているさま。
2.切り立っているさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈥"
9,夥多,かた,夥しい,おびただ,◆１,"非常に多いこと。おびただしいこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈥"
10,陋巷,ろうこう,陋い,せま,◆１,"せま苦しく、きたない街。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-1㈥"
11,忸怩,じくじ,忸じる,は,◆１,"自分の行いをはずかしく思うようす。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈥"
12,長嘶,ちょうせい,嘶く,いなな,◆１,"馬などが声を引いていななく。〈漢辞海〉
◇漢字ペディア小見出し
●H15-2㈥"
13,燻蒸,くんじょう,燻す,いぶ,◆１,"1.いぶし、蒸すこと。
2.害虫などを殺すため、薬剤などでいぶすこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈥"
14,芟除,"さんじょ
せんじょ",芟る,か,◆１,"雑草などを取り除くこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈥、H21-3㈥"
15,吶喊,とっかん,喊ぶ,さけ,◆１,"1.大勢が大声で叫ぶこと。鬨(とき)の声をあげること。
2.大声を発しながら、敵陣に突撃すること。≒突貫〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈥"
16,刪修,さんしゅう,刪る,けず,◆１,"不要な語句をけずって文章を整えること。≒刪正、刪定〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-3㈥"
17,儁傑,しゅんけつ,儁れる,すぐ,◆１,"才徳が衆人よりすぐれていること。また、そのさまやその人。衆に秀でた人。英傑。俊彦。≒俊傑〈日本国語大辞典〉
◇漢字ペディア小見出し
●H15-3㈥"
18,剪定,せんてい,剪る,き,◆１,"果樹などの発育や結実を助けたり庭木の形を整えるために、余分な枝を切ること。≒翦定〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-3㈥"
19,象嵌,"ぞうがん
ぞうかん",嵌める,"は
ちりば",◆１,"≒象眼〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-3㈥"
20,篡逆,さんぎゃく,篡う,うば,◆１,"主君を廃してその位を奪い取ること。謀叛を起こすこと。≒簒虐〈日本国語大辞典〉
◇漢字ペディア小見出し
●H15-3㈥"
21,勁草,けいそう,勁い,つよ,◆１,"茎がしっかりしていて、強風にも折れない草。また、節操や意志の固い人のたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈥"
22,目睹,もくと,睹る,み,◆１,"目で実際に見ること。目撃。〈大辞泉〉
◇漢字ペディア小見出し
●H16-1㈥"
23,蠢動,しゅんどう,蠢く,うごめ,◆１,"≒蠢爾
1.虫がうごめくこと。≒蠢蠢
2.つまらないものが騒ぎ動くこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈥"
24,陞叙,しょうじょ,陞る,のぼ,◆１,"≒昇叙〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈥"
25,菲徳,ひとく,菲い,うす,◆１,"薄い徳。人間としての価値ある行いが薄いこと。≒寡徳〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈥"
26,均霑,きんてん,霑う,うるお,◆１,"利益や恩恵をみんながひとしく受けること。恩恵が均等にいきわたること。≒均沾〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈥、H18-1㈥、H21-2㈥"
27,浚渫,しゅんせつ,浚う,さら,◆１,"水底の泥をさらって深くすること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈥"
28,憑依,ひょうい,憑く,つ,◆１,"1.霊がのりうつること。
2.よりすがること。たのみにすること。≒馮依〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈥"
29,饌米,せんまい,饌える,そな,◆１,"神に供える米。供物とする洗米。供米。〈日本国語大辞典〉
◇漢字ペディア小見出し
●H16-2㈥"
30,糜爛,びらん,糜れる,ただ,◆１,"1.ただれ崩れること。
2.世の中の乱れ、人民の疲弊のはなはだしいたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈥"
31,斫断,しゃくだん,斫る,き,◆１,"たちきること。≒切断〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈥"
32,邀撃,ようげき,邀える,むか,◆１,"攻めて来る敵を、むかえ討つこと。≒迎撃〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈥"
33,薨去,こうきょ,薨る,みまか,◆１,"昔、皇族や三位(サンミ)以上の人が死ぬこと。≒薨逝〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈥、H19-2㈥"
34,衛戍,えいじゅ,戍る,まも,◆１,"軍隊が長い間同じ地にとどまって警備にあたること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈥"
35,攫取,かくしゅ,攫む,つか,◆１,"つかみとること。手に入れること。≒獲取〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈥"
36,戡定,かんてい,戡つ,か,◆１,"戦いに勝って、敵を平定すること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈥、H21-2㈥"
37,懿徳,いとく,懿しい,うるわ,◆１,"非常にすぐれた徳。特に、女性のすぐれた品性・人格。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈥、H27-2㈥"
38,佩剣,はいけん,佩びる,お,◆１,"刀剣を腰につけること。また、その刀剣。帯剣。〈大辞泉〉
●H17-1㈥、H20-1㈥"
39,耘耕,うんこう,耘る,くさぎ,◆１,"土をおこして雑草をとったり、耕したりする。農作物の手入れをすること。≒耕耘〈漢字源〉
◇漢字ペディア小見出し
●H17-1㈥"
40,呵譴,かけん,譴める,"せ
とが",◆１,"きびしくしかる。とがめしかる。荷責。≒呵責、呵叱<漢辞海>
◇漢字ペディア下付き
●H17-1㈥"
41,遒勁,しゅうけい,遒い,"つよ
ちからづよ",◆１,"絵画や文章を書くときの筆の運びが力強いこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-2㈥、H20-1㈥"
42,竦然,しょうぜん,竦れる,おそ,◆１,"恐れてこわがるさま。≒慄然〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-2㈥、
●H25-3㈥"
43,秉燭,へいしょく,秉る,と,◆１,"灯(ともしび)を手に持つこと。転じて、灯をともすころ。宵(よい)。夕方。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-2㈥"
44,貽訓,いくん,貽す,のこ,◆１,"┌祖先が子孫のためにのこした教え。≒遺訓、詒訓〈漢字源〉
┌先祖が子孫に残した教訓≒貽謀〈漢辞海〉
◇漢字ペディア小見出し
●H17-2㈥"
45,黜陟,ちゅっちょく,黜ける,しりぞ,◆１,"功績のない者をしりぞけて、功績のある者を昇官させること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-3㈥"
46,聚斂,しゅうれん,聚める,あつ,◆１,"1.一か所にあつめてそれを取りこむこと。
2.支配者が租税を厳しく取り立てること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-3㈥"
47,杳渺,ようびょう,杳か,はる,◆１,"奥深くかすかなさま。はるかに遠いさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-3㈥、H26-1㈥"
48,鑿井,さくせい,鑿つ,うが,◆１,"1.井戸を掘ること。
2.石油や温泉などを得るため、地中に深い穴を掘ること。ボーリング。
●H17-3㈥"
49,覘望,てんぼう,覘く,のぞ,◆１,"遠くからようすをうかがうこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-3㈥"
50,虧盈,きえい,虧ける,か,◆１,"欠けることと満ちること。満ち欠け。≒盈虚〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈥、H20-2㈥"
51,覬覦,きゆ,覬む,のぞ,◆１,"身分不相応のことをのぞみねがうこと。また、そのようなのぞみやもくろみ。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈥、H20-1㈥、H23-2㈥、H25-2㈥"
52,瑩徹,えいてつ,瑩らか,あき,◆１,"明るく透きとおっていること。澄みわたっていること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈥"
53,笞撻,ちたつ,笞つ,むちう,◆１,"むちで打つこと。≒鞭撻〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈥"
54,嬋姸,せんけん,姸しい,うつく,◆１,"あでやかで美しいさま。なよなよとして美しいさま。≒嬋娟〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-2㈥"
55,勍敵,けいてき,勍い,つよ,◆１,"┌強い敵。強敵。≒勁敵〈日本国語大辞典〉
┌強敵。〈漢字源〉
┌強きかたき。〈字源〉
◇漢字ペディア小見出し
●H18-2㈥、H21-3㈥"
56,燮理,しょうり,燮げる,やわら,◆１,"1.やわらげおさめること。調和させて整えること。
2.宰相が国を治めること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-2㈥、H23-1㈥"
57,仄日,そくじつ,仄く,かたむ,◆１,"夕日。夕方のかたむいた太陽。≒斜陽〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-2㈥、H25-2㈥"
58,鐫録,せんろく,鐫る,"ほ
え",◆１,"心に深く刻んで記憶すること。〈漢字ペディア〉
◇漢字ペディア大見出
●H18-2㈥"
